,hour,grids
0,12.0,1397
1,12.0,1398
2,12.0,1399
3,12.0,1400
4,12.0,1401
5,12.0,1401
6,12.0,1402
7,12.0,1403
8,12.0,1404
9,12.0,1405
10,12.0,1406
11,12.0,1406
12,12.0,1407
13,12.0,1408
14,12.0,1409
15,12.0,1410
16,12.0,1410
17,12.0,1411
18,12.0,1412
19,12.0,1413
20,12.0,1414
21,12.0,1415
22,12.0,1446
23,12.0,1447
24,12.0,1448
25,12.0,1449
26,12.0,1450
27,12.0,1450
28,12.0,1451
29,12.0,1452
30,12.0,1453
31,12.0,1454
32,12.0,1455
33,12.0,1455
34,12.0,1456
35,12.0,1457
36,12.0,1458
37,12.0,1459
38,12.0,1459
39,12.0,1460
40,12.0,1461
41,12.0,1462
42,12.0,1463
43,12.0,1464
44,12.0,1495
45,12.0,1496
46,12.0,1497
47,12.0,1498
48,12.0,1499
49,12.0,1499
50,12.0,1500
51,12.0,1501
52,12.0,1502
53,12.0,1503
54,12.0,1504
55,12.0,1504
56,12.0,1505
57,12.0,1506
58,12.0,1507
59,12.0,1508
60,12.0,1508
61,12.0,1509
62,12.0,1510
63,12.0,1511
64,12.0,1512
65,12.0,1513
66,12.0,1544
67,12.0,1545
68,12.0,1546
69,12.0,1547
70,12.0,1548
71,12.0,1548
72,12.0,1549
73,12.0,1550
74,12.0,1551
75,12.0,1552
76,12.0,1553
77,12.0,1553
78,12.0,1554
79,12.0,1555
80,12.0,1556
81,12.0,1557
82,12.0,1557
83,12.0,1558
84,12.0,1559
85,12.0,1560
86,12.0,1561
87,12.0,1562
88,12.0,1593
89,12.0,1594
90,12.0,1595
91,12.0,1596
92,12.0,1597
93,12.0,1597
94,12.0,1598
95,12.0,1599
96,12.0,1600
97,12.0,1601
98,12.0,1602
99,12.0,1602
100,12.0,1603
101,12.0,1604
102,12.0,1605
103,12.0,1606
104,12.0,1606
105,12.0,1607
106,12.0,1608
107,12.0,1609
108,12.0,1610
109,12.0,1611
110,12.0,1642
111,12.0,1642
112,12.0,1643
113,12.0,1643
114,12.0,1644
115,12.0,1644
116,12.0,1645
117,12.0,1645
118,12.0,1646
119,12.0,1646
120,12.0,1646
121,12.0,1646
122,12.0,1647
123,12.0,1647
124,12.0,1648
125,12.0,1648
126,12.0,1649
127,12.0,1649
128,12.0,1650
129,12.0,1650
130,12.0,1651
131,12.0,1651
132,12.0,1651
133,12.0,1651
134,12.0,1652
135,12.0,1652
136,12.0,1653
137,12.0,1653
138,12.0,1654
139,12.0,1654
140,12.0,1655
141,12.0,1655
142,12.0,1655
143,12.0,1655
144,12.0,1656
145,12.0,1656
146,12.0,1657
147,12.0,1657
148,12.0,1658
149,12.0,1658
150,12.0,1659
151,12.0,1659
152,12.0,1660
153,12.0,1660
154,12.0,1691
155,12.0,1692
156,12.0,1693
157,12.0,1694
158,12.0,1695
159,12.0,1695
160,12.0,1696
161,12.0,1697
162,12.0,1698
163,12.0,1699
164,12.0,1700
165,12.0,1700
166,12.0,1701
167,12.0,1702
168,12.0,1703
169,12.0,1704
170,12.0,1704
171,12.0,1705
172,12.0,1706
173,12.0,1707
174,12.0,1708
175,12.0,1709
176,12.0,1740
177,12.0,1741
178,12.0,1742
179,12.0,1743
180,12.0,1744
181,12.0,1744
182,12.0,1745
183,12.0,1746
184,12.0,1747
185,12.0,1748
186,12.0,1749
187,12.0,1749
188,12.0,1750
189,12.0,1751
190,12.0,1752
191,12.0,1753
192,12.0,1753
193,12.0,1754
194,12.0,1755
195,12.0,1756
196,12.0,1757
197,12.0,1758
198,12.0,1789
199,12.0,1790
200,12.0,1791
201,12.0,1792
202,12.0,1793
203,12.0,1793
204,12.0,1794
205,12.0,1795
206,12.0,1796
207,12.0,1797
208,12.0,1798
209,12.0,1798
210,12.0,1799
211,12.0,1800
212,12.0,1801
213,12.0,1802
214,12.0,1802
215,12.0,1803
216,12.0,1804
217,12.0,1805
218,12.0,1806
219,12.0,1807
220,12.0,1838
221,12.0,1839
222,12.0,1840
223,12.0,1841
224,12.0,1842
225,12.0,1842
226,12.0,1843
227,12.0,1844
228,12.0,1845
229,12.0,1846
230,12.0,1847
231,12.0,1847
232,12.0,1848
233,12.0,1849
234,12.0,1850
235,12.0,1851
236,12.0,1851
237,12.0,1852
238,12.0,1853
239,12.0,1854
240,12.0,1855
241,12.0,1856
